1363157985066	13726230503	120.196.100.82	i02.c.aliimg.com	2481	24681	200
1363157995052	13826544101	120.197.40.4		264	0	200
1363157991076	13926435656	120.196.100.99		132	1512	200
1363154400022	13926251106	120.197.40.4		240	0	200
1363157993044	18211575961	120.196.100.99	iface.qiyi.com	1527	2106	200
1363157995074	84138413	120.197.40.4	122.72.52.12	4116	1432	200
1363157993055	13560439658	120.196.100.99		1116	954	200
1363157995033	15920133257	120.197.40.4	sug.so.360.cn	3156	2936	200
1363157983019	13719199419	120.196.100.82		240	0	200
1363157984041	13660577991	120.197.40.4	s19.cnzz.com	6960	690	200
1363157973098	15013685858	120.197.40.4	rank.ie.sogou.com	3659	3538	200
1363157986029	15989002119	120.196.100.99	www.umeng.com	1938	180	200
1363157992093	13560439658	120.196.100.99		918	4938	200
1363157986041	13480253104	120.197.40.4		180	180	200
1363157984040	13602846565	120.197.40.4	2052.flash2-http.qq.com	1938	2910	200
1363157995093	13922314466	120.196.100.82	img.qfc.cn	3008	3720	200
1363157982040	13502468823	120.196.100.99	y0.ifengimg.com	7335	110349	200
1363157986072	18320173382	120.196.100.99	input.shouji.sogou.com	9531	2412	200
1363157990043	13925057413	120.196.100.55	t3.baidu.com	11058	48243	200
1363157988072	13760778710	120.196.100.82		120	120	200
1363157985066	13726238888	120.196.100.82	i02.c.aliimg.com	2481	24681	200
1363157993055	13560436666	120.196.100.99		1116	954	20	
